Réf.,Libellé,Produit,Description,Quantité,Id de ligne,Produit,Nomenclature BOM,Description,Quantité,Poste de travail par défaut,Unité
BOM2310-0035,Kit Quincaillerie pour Tiroir SCA,5671,,1.00000000,137,1629,,,24.00000000,,
BOM2310-0035,Kit Quincaillerie pour Tiroir SCA,5671,,1.00000000,257,5315,,,12.00000000,,
BOM2310-0035,Kit Quincaillerie pour Tiroir SCA,5671,,1.00000000,321,5372,,,0.07000000,,32
BOM2310-0035,Kit Quincaillerie pour Tiroir SCA,5671,,1.00000000,407,5553,,,1.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,139,1629,,,4.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,140,1640,,,2.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,141,1782,,,4.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,142,1783,,,12.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,143,1784,,,4.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,144,1785,,,4.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,145,1985,,,2.00000000,,
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,322,5372,,,0.10000000,,32
BOM2310-0036,Kit Quincaillerie pour Pattes de Dossier Banquette,5673,,1.00000000,425,5373,,,0.10000000,,32
BOM2310-0037,Kit Quincaillerie pour Tiroir Banquette,5736,,1.00000000,146,1629,,,24.00000000,,
BOM2310-0037,Kit Quincaillerie pour Tiroir Banquette,5736,,1.00000000,260,1797,,,18.00000000,,
BOM2310-0037,Kit Quincaillerie pour Tiroir Banquette,5736,,1.00000000,323,5372,,,0.08000000,,32
BOM2310-0037,Kit Quincaillerie pour Tiroir Banquette,5736,,1.00000000,408,5553,,,1.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,149,1789,,,4.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,150,1790,,,4.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,151,2003,,,5.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,152,5150,,,1.08000000,,7
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,153,5316,,,2.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,155,5631,,,10.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,201,5372,,,0.18000000,0,32
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,263,5150,,,0.90000000,,7
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,264,7002,,,1.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,266,6999,,,1.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,267,5485,,,23.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,268,6667,,,1.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,409,5553,,,1.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,410,5554,,,1.00000000,,
BOM2310-0038,Kit Quincaillerie pour Banquette 120 Standard,5674,,1.00000000,458,7887,64,,1.00000000,,28
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,157,1789,,,4.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,158,1790,,,4.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,159,2003,,,5.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,161,5316,,,2.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,162,5485,,,23.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,163,5631,,,10.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,269,6667,,,1.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,270,5150,,,1.05000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,271,5150,,,1.30000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,272,6999,,,1.00000000,,
BOM2310-0039,Kit Quincaillerie pour Banquette 140 Standard,5675,,1.00000000,273,7002,,,1.00000000,,
